trace_id,event_name,start_time,start_weekday,end_time,duration,resource,adaptation_action
0,process start event,2022-08-01 09:00:00+00:00,0,2022-08-01 09:00:00+00:00,0.0,NA,insert
0,A,2022-08-01 09:00:00+00:00,0,2022-08-01 09:30:00+00:00,30.0,Default Resource-000001,insert
0,B,2022-08-01 09:30:00+00:00,0,2022-08-01 10:00:00+00:00,30.0,Default Resource-000003,insert
0,C,2022-08-01 10:00:00+00:00,0,2022-08-01 10:30:00+00:00,30.0,Default Resource-000006,insert
0,D,2022-08-01 10:30:00+00:00,0,2022-08-01 11:00:00+00:00,30.0,Default Resource-000010,insert
0,E,2022-08-01 11:00:00+00:00,0,2022-08-01 11:30:00+00:00,30.0,Default Resource-000005,insert
0,F,2022-08-01 11:30:00+00:00,0,2022-08-01 12:00:00+00:00,30.0,Default Resource-000001,insert
0,I,2022-08-01 12:00:00+00:00,0,2022-08-01 12:20:00+00:00,20.0,Inserted_Activity_resource,insert
0,process end event,2022-08-01 12:00:00+00:00,0,2022-08-01 12:00:00+00:00,0.0,NA,insert
1,process start event,2022-08-01 09:30:00+00:00,0,2022-08-01 09:30:00+00:00,0.0,NA,shorten
1,A,2022-08-01 09:30:00+00:00,0,2022-08-01 10:00:00+00:00,30.0,Default Resource-000002,shorten
1,B,2022-08-01 10:00:00+00:00,0,2022-08-01 10:40:00+00:00,40.0,Default Resource-000005,shorten
1,C,2022-08-01 10:40:00+00:00,0,2022-08-01 11:10:00+00:00,30.0,Shorten_Activity_resource,shorten
1,D,2022-08-01 11:40:00+00:00,0,2022-08-01 12:10:00+00:00,30.0,Default Resource-000004,shorten
1,E,2022-08-01 12:10:00+00:00,0,2022-08-01 12:40:00+00:00,30.0,Default Resource-000010,shorten
1,F,2022-08-01 12:40:00+00:00,0,2022-08-01 13:10:00+00:00,30.0,Default Resource-000007,shorten
1,process end event,2022-08-01 13:10:00+00:00,0,2022-08-01 13:10:00+00:00,0.0,NA,shorten
2,process start event,2022-08-01 10:00:00+00:00,0,2022-08-01 10:00:00+00:00,0.0,NA,skip
2,A,2022-08-01 10:00:00+00:00,0,2022-08-01 10:30:00+00:00,30.0,Default Resource-000004,skip
2,B,2022-08-01 10:30:00+00:00,0,2022-08-01 11:20:00+00:00,50.0,Default Resource-000008,skip
2,C,2022-08-01 11:20:00+00:00,0,2022-08-01 12:50:00+00:00,90.0,Default Resource-000003,skip
2,D,2022-08-01 12:50:00+00:00,0,2022-08-01 13:20:00+00:00,30.0,Default Resource-000009,skip
2,F,2022-08-01 13:50:00+00:00,0,2022-08-01 14:20:00+00:00,30.0,Default Resource-000003,skip
2,process end event,2022-08-01 14:20:00+00:00,0,2022-08-01 14:20:00+00:00,0.0,NA,skip
3,process start event,2022-08-01 10:30:00+00:00,0,2022-08-01 10:30:00+00:00,0.0,NA,shorten
3,A,2022-08-01 10:30:00+00:00,0,2022-08-01 11:00:00+00:00,30.0,Default Resource-000007,shorten
3,B,2022-08-01 11:00:00+00:00,0,2022-08-01 11:30:00+00:00,30.0,Shorten_Activity_resource,shorten
3,C,2022-08-01 12:00:00+00:00,0,2022-08-01 13:00:00+00:00,60.0,Default Resource-000008,shorten
3,D,2022-08-01 13:00:00+00:00,0,2022-08-01 13:30:00+00:00,30.0,Default Resource-000005,shorten
3,E,2022-08-01 13:30:00+00:00,0,2022-08-01 14:00:00+00:00,30.0,Default Resource-000002,shorten
3,F,2022-08-01 14:00:00+00:00,0,2022-08-01 14:30:00+00:00,30.0,Default Resource-000009,shorten
3,process end event,2022-08-01 14:30:00+00:00,0,2022-08-01 14:30:00+00:00,0.0,NA,shorten
4,process start event,2022-08-01 11:00:00+00:00,0,2022-08-01 11:00:00+00:00,0.0,NA,shorten
4,A,2022-08-01 11:00:00+00:00,0,2022-08-01 11:30:00+00:00,30.0,Default Resource-000001,shorten
4,B,2022-08-01 11:30:00+00:00,0,2022-08-01 12:00:00+00:00,30.0,Shorten_Activity_resource,shorten
4,C,2022-08-01 12:20:00+00:00,0,2022-08-01 12:50:00+00:00,30.0,Default Resource-000004,shorten
4,D,2022-08-01 12:50:00+00:00,0,2022-08-01 13:20:00+00:00,30.0,Default Resource-000001,shorten
4,E,2022-08-01 13:20:00+00:00,0,2022-08-01 13:50:00+00:00,30.0,Default Resource-000008,shorten
4,F,2022-08-01 13:50:00+00:00,0,2022-08-01 14:20:00+00:00,30.0,Default Resource-000005,shorten
4,process end event,2022-08-01 14:20:00+00:00,0,2022-08-01 14:20:00+00:00,0.0,NA,shorten
5,process start event,2022-08-01 11:30:00+00:00,0,2022-08-01 11:30:00+00:00,0.0,NA,shorten
5,A,2022-08-01 11:30:00+00:00,0,2022-08-01 12:00:00+00:00,30.0,Default Resource-000006,shorten
5,B,2022-08-01 12:00:00+00:00,0,2022-08-01 12:40:00+00:00,40.0,Default Resource-000003,shorten
5,C,2022-08-01 12:40:00+00:00,0,2022-08-01 13:10:00+00:00,30.0,Shorten_Activity_resource,shorten
5,D,2022-08-01 13:40:00+00:00,0,2022-08-01 14:10:00+00:00,30.0,Default Resource-000007,shorten
